Cycles,Current density,Voltage
0.28142,10,90.68034
0.28196,10,91.70607
0.2825,10,92.73074
0.28305,10,93.75433
0.28359,10,94.77684
0.28413,10,95.79824
0.28467,10,96.81853
0.28522,10,97.83769
0.28576,10,98.85572
0.2863,10,99.87261
0.28684,10,100.88833
0.28739,10,101.90288
0.28793,10,102.91624
0.28847,10,103.92841
0.28901,10,104.93937
0.28956,10,105.94912
0.2901,10,106.95763
0.29064,10,107.9649
0.29118,10,108.97092
0.29173,10,109.97567
0.29227,10,110.97915
0.29281,10,111.98133
0.29335,10,112.98222
0.2939,10,113.98179
0.29444,10,114.98004
0.29498,10,115.97695
0.29552,10,116.97252
0.29606,10,117.96672
0.29661,10,118.95956
0.29715,10,119.95102
0.29769,10,120.94108
0.29823,10,121.92974
0.29878,10,122.91698
0.29932,10,123.90279
0.29986,10,124.88716
0.3004,10,125.87009
0.30095,10,126.85155
0.30149,10,127.83154
0.30203,10,128.81004
0.30257,10,129.78705
0.30312,10,130.76255
0.30366,10,131.73653
0.3042,10,132.70898
0.30474,10,133.67989
0.30529,10,134.64925
0.30583,10,135.61704
0.30637,10,136.58326
0.30691,10,137.54789
0.30746,10,138.51092
0.308,10,139.47234
0.30854,10,140.43215
0.30908,10,141.39032
0.30962,10,142.34685
0.31017,10,143.30173
0.31071,10,144.25494
0.31125,10,145.20648
0.31179,10,146.15633
0.31234,10,147.10449
0.31288,10,148.05093
0.31342,10,148.99566
0.31396,10,149.93865
0.31451,10,150.8799
0.31505,10,151.8194
0.31559,10,152.75714
0.31613,10,153.6931
0.31668,10,154.62728
0.31722,10,155.55966
0.31776,10,156.49024
0.3183,10,157.41899
0.31885,10,158.34592
0.31939,10,159.27101
0.31993,10,160.19425
0.32047,10,161.11563
0.32102,10,162.03514
0.32156,10,162.95276
0.3221,10,163.86849
0.32264,10,164.78232
0.32318,10,165.69424
0.32373,10,166.60423
0.32427,10,167.51228
0.32481,10,168.41839
0.32535,10,169.32255
0.3259,10,170.22473
0.32644,10,171.12494
0.32698,10,172.02316
0.32752,10,172.91939
0.32807,10,173.8136
0.32861,10,174.7058
0.32915,10,175.59596
0.32969,10,176.48409
0.33024,10,177.37017
0.33078,10,178.25419
0.33132,10,179.13613
0.33186,10,180.016
0.33241,10,180.89377
0.33295,10,181.76945
0.33349,10,182.64301
0.33403,10,183.51445
0.33458,10,184.38376
0.33512,10,185.25093
0.33566,10,186.11595
0.3362,10,186.9788
0.33674,10,187.83948
0.33729,10,188.69798
0.33783,10,189.55429
0.33837,10,190.4084
0.33891,10,191.2603
0.33946,10,192.10997
0.34,10,192.95741
0.34054,10,193.80261
0.34108,10,194.64556
0.34163,10,195.48625
0.34217,10,196.32467
0.34271,10,197.16081
0.34325,10,197.99466
0.3438,10,198.82621
0.34434,10,199.65545
0.34488,10,200.48237
0.34542,10,201.30696
0.34597,10,202.12921
0.34651,10,202.94912
0.34705,10,203.76667
0.34759,10,204.58185
0.34814,10,205.39466
0.34868,10,206.20508
0.34922,10,207.0131
0.34976,10,207.81872
0.3503,10,208.62193
0.35085,10,209.42271
0.35139,10,210.22106
0.35193,10,211.01697
0.35247,10,211.81043
0.35302,10,212.60142
0.35356,10,213.38995
0.3541,10,214.176
0.35464,10,214.95956
0.35519,10,215.74063
0.35573,10,216.51919
0.35627,10,217.29523
0.35681,10,218.06875
0.35736,10,218.83974
0.3579,10,219.60819
0.35844,10,220.37408
0.35898,10,221.13742
0.35953,10,221.89818
0.36007,10,222.65637
0.36061,10,223.41198
0.36115,10,224.16499
0.3617,10,224.91539
0.36224,10,225.66318
0.36278,10,226.40835
0.36332,10,227.15089
0.36386,10,227.8908
0.36441,10,228.62805
0.36495,10,229.36265
0.36549,10,230.09459
0.36603,10,230.82385
0.36658,10,231.55044
0.36712,10,232.27433
0.36766,10,232.99552
0.3682,10,233.71401
0.36875,10,234.42979
0.36929,10,235.14284
0.36983,10,235.85316
0.37037,10,236.56074
0.37092,10,237.26557
0.37146,10,237.96765
0.372,10,238.66697
0.37254,10,239.36351
0.37309,10,240.05727
0.37363,10,240.74824
0.37417,10,241.43642
